sales_rep,product_name,revenue_ytd,units_ytd,txn_count
10.0,Only One Liquid-Gel Multi WITH IRON 60ct,28992.539999999997,2210,80
10.0,Only One Liquid-Gel Multi WITHOUT IRON 60ct,5671.700000000006,676,106
10.0,ONLY ONE MULTI WITH IRON 60SG,857.9600000000003,60,45
10.0,ONLY ONE MULTI WITHOUT IRON 60SG,1192.8400000000001,83,53
10.0,Optimum-Strength Testosterone UP PRO-Growth 60ct,7052.64,336,14
10.0,Power Male Horny Goat Weed w/ Nitric Oxide Boost,40.77,3,1
10.0,Power-Male Horny Goat Weed w/Nitric Oxide Booster 60ct,4748.04,396,15
10.0,POWER MALE HORNY GOAT WEED W/OUT BOOSTER 60SG,209.94,15,5
10.0,POWER TO SLEEP MAGNESIUM PM+FLOWER 60CAP,448.66,55,30
10.0,PowertoSleepMagnesiumPM+RelaxingFlowerComplex60ct,13524.72,2378,11
10.0,Power to Sleep PM 120ct VALUE SIZE,19305.600000000002,876,33
10.0,Power to Sleep PM 60ct,63789.21999999999,5331,48
10.0,POWER TO SLEEP PM 60SG,1083.56,91,56
10.0,Power to Sleep PM 6mg Melatonin 60ct,39737.22,3156,24
10.0,POWER TO SLEEP PM 6MG MELATONIN 60SG,256.88,17,5
10.0,POWER TO SLEEP PM MELATONIN FREE 50SG,615.05,44,22
10.0,Pro-Active Male Prosta-Strong Healthy Urinary Flow 180ct VALUE SIZE,256817.55,6408,44
10.0,Pro-Active Male Prosta-Strong Healthy Urinary Flow 90ct,12342.120000000003,610,24
10.0,Pro-Active Nitric Oxide PWR Blood-Flow Booster 60ct,870.54,72,2
10.0,PROACTIVE NITRIC OXIDE PWR BLOOD FLW BOOSTER 60SG,426.19000000000005,29,10
10.0,Prosta Strong,47.58,2,1
10.0,PROSTA STRONG 90SG,12647.919999999993,544,170
10.0,Prosta Strong Red,61.17,3,1
10.0,Prosta-Strong RED 80ct,13580.650000000001,768,23
10.0,PROSTA STRONG RED 80SG,4430.41,227,40
10.0,PROSTA STRONG VALUE SIZE 180SG,3728.120000000001,86,59
10.0,PURE DEFENSE MUSHROOM 8 IMMUNE SUPPORT 60SG,64,4,1
10.0,Quick Energy RED Liquid-Gel Multi 72ct,22967.95,1421,30
10.0,QUICK ENERGY RED MULTI 72SG,1272.42,73,46
10.0,RAPID-ACTING TESTOSTERONE UP THERMO BURN-MAX 60CAP,606.1800000000001,29,22
10.0,"Rapid-Acting Testosterone UP ThermoBurn-Max, 60ct",33574.82,1754,12
10.0,RESPIRATORY CLEANSE & DEFENSE 60T,14678.749999999996,1424,100
10.0,Respiratory Support & Defense 60ct,9985.229999999996,1125,83
10.0,Sensual Woman Edurance Stress Libido,57.09,3,1
10.0,Sensual Woman Endurance*Stress*Libido 60ct,7152.539999999999,432,14
10.0,SENSUAL WOMAN ENDURANCE STRESS LIBIDO 60SG,896.2600000000002,50,37
10.0,SHATAVARI ROSE MIND & BODY FOR WOMEN 60CAPS,79.15,5,2
10.0,Shatavari-Rose Mind & Body for Women 60ct,4242.65,95,5
10.0,SLEEP FIT PM FAT BURNER 60CAPS,365.98,24,17
10.0,Sleep Fit PM Fat Burner 60ct,8180.06,626,14
10.0,Steel Libido,50.97,3,1
10.0,Steel-Libido 75ct,7326.509999999998,495,31
10.0,STEEL LIBIDO FOR MEN 75SG,423.56,25,14
10.0,Steel Libido for Women,50.97,3,1
10.0,Steel-Libido for Women 48ct 200cc,136.69,12,2
10.0,STEEL LIBIDO FOR WOMEN 48SG,630.31,44,10
10.0,Steel-Libido for WOMEN 75ct,65767.79000000001,4383,52
10.0,STEEL LIBIDO FOR WOMEN 75SG,1755.5699999999993,112,81
10.0,STEEL LIBIDO MAX3 + NITRIC OXIDE BOOSTER 75SG,122.44,6,2
10.0,Steel Libido Peak Testosterone,50.97,3,1
10.0,Steel-Libido Peak Testosterone 75ct,6520.65,435,16
10.0,STEEL LIBIDO PEAK TESTOSTERONE 75SG,1447.1399999999996,89,61
10.0,Steel Libido PINK for Women,59.13,3,1
10.0,STEEL LIBIDO PINK FOR WOMEN 60SG,244.88,12,4
10.0,Steel Libido RED,50.97,3,1
10.0,Steel-Libido RED 150ct VALUE SIZE,193797.44000000003,7212,46
10.0,Steel-Libido RED 75ct,60456.97000000001,4041,65
10.0,STEEL LIBIDO RED 75SG,1732.1499999999996,111,59
10.0,STEEL LIBIDO RED VALUE SIZE 150SG,1895.48,65,50
10.0,Stored Fat Belly Burner,38.73,3,1
10.0,Stored Fat Belly Burner 100ct VALUE SIZE,6238.93,348,13
10.0,Stored Fat Belly Burner 60ct,13476.650000000001,1206,48
10.0,STORED FAT BELLY BURNER 60SG,1147.48,97,57
10.0,Stored-Fat Belly Burner plus CalorieBurn 40ct,9309.019999999999,818,15
10.0,STORED FAT BELLY BURNER PLUS CALORIE BURN GP 40SG,1064.1200000000003,75,43
10.0,STORED FAT BELLY BURNER VALUE SIZE 100SG,43.18,2,1
10.0,Stress Defy,63.21,3,1
10.0,Stress-Defy 84ct,260.26,14,3
10.0,"STRESS-DEFY BALANCED, RELAXED, FOCUSED 30GUMMIES",370.96000000000004,48,22
10.0,Sunny Mood with 5 HTP,57.09,3,1
10.0,Sunny Mood with 5-HTP 80ct,40.300000000000004,3,2
10.0,SUNNY MOOD WITH 5 HTP 80SG,491.24000000000007,27,24
10.0,Sunny Mood with Rhodiola 75ct,12474.969999999998,749,30
10.0,SUNNY MOOD WITH RHODIOLA 75SG,236.43999999999997,13,8
10.0,Super Cleanse 100ct,5159.66,548,56
10.0,SUPER CLEANSE 100T,99.07999999999998,9,4
10.0,Super Cleanse 200ct ECONOMY SIZE,99886.85999999999,5496,38
10.0,Testosterone Extra Fat Burner,57.09,3,1
10.0,Testosterone-Extra Fat Burner 60ct,12955.159999999998,780,26
10.0,TESTOSTERONE EXTRA FAT BURNER 60SG,1136.0500000000002,69,52
10.0,Testosterone Mega Boost RED,122.34,6,2
10.0,Testosterone Mega-Boost Red 56ct,9033.019999999999,538,27
10.0,TESTOSTERONE MEGA BOOST RED 56SG,1576.25,90,35
10.0,Testosterone Mega-Boost RED 68ct 300cc,136904.58,6554,32
10.0,TESTOSTERONE MEGA BOOST RED 68SG,631.98,28,21
10.0,Testosterone UP 60ct,611.6800000000001,35,4
10.0,TESTOSTERONE UP 60SG,2018.1600000000005,95,48
10.0,TESTOSTERONE UP PEAK PERFORMANCE 30GUMMIES,370.96000000000004,48,22
10.0,Testosterone UP Prostate Defense,81.57000000000001,3,1
10.0,Testosterone Up RED,67.29,3,1
10.0,Testosterone Up RED 100ct VALUE SIZE,0,2,1
10.0,TESTOSTERONE UP RED 32SG,446.11,31,4
10.0,Testosterone UP RED 60ct,14961.239999999994,765,38
10.0,TESTOSTERONE UP RED 60SG,2634.5000000000005,126,69
10.0,TESTOSTERONE UP RED VALUE SIZE 100SG,1751.5599999999997,51,40
10.0,Testosterone Up Strength & Size 60ct,6703.5599999999995,324,12
10.0,TESTOSTERONE UP STRENGTH & SIZE 60SG,639.8,28,24
10.0,TESTOSTERONE UP VALUE SIZE 120SG,167.01,4,1
10.0,Thermo Burn Stubborn Fat Metabolizer 60ct,6115.92,408,14
10.0,THERMO BURN STUBBORN FAT METABOLIZER 60SG,71.96,4,2
10.0,Triple Diet Fat Reduction Max Accelerator,44.85,3,1
10.0,Triple Diet Fat Reduction Max Accelerator 72ct,459.02,36,6
10.0,TRIPLE DIET FAT REDUCTION MAX ACCELERATOR 72SG,415.98,31,9
10.0,Triple Source Magnesium Ashwagandha,74.76,5,1
10.0,Triple Source MAGNESIUM ASHWAGANDHA 60ct,63027.09999999999,6732,51
10.0,TRIPLE SOURCE MAGNESIUM + ASHWAGANDHA 60SG,1452.49,108,60
10.0,Triple Tea Fat Burner,50.97,3,1
10.0,Triple-Tea Fat Burner 75ct,764.4900000000002,51,42
10.0,TRIPLE TEA FAT BURNER 75SG,220.45999999999998,14,14
10.0,TURBO-ENERGY LIBIDO-MAX RED 72CAP,567.47,57,38
10.0,Turbo-Energy Libido-Max RED 72ct,0,2,1
10.0,"TYPE I, II & III COLLAGEN PEPTIDES+ASTAX 60SG",373,23,18
10.0,"Type I, II & III Collagen Peptides + Astaxanthin 60ct",292.15,18,3
10.0,ULTIMATE CLEANSE 120+120T,61.17,3,1
10.0,Ultimate Cleanse (2 Part Program),81927.7,3439,42
10.0,Urgent Rescue Mega Vita-C 60ct,71.94,6,1
10.0,URINARY CLEANSE & FLUSH 60C,519.0500000000001,50,12
10.0,Urinary Flush & Support 60ct,1058.2200000000003,126,31
10.0,V02 Max Performance Fat Burner 60ct,6746.250000000001,378,14
10.0,Vision Sharp Multi-Nutrient Eye Health 42ct,30705.519999999997,3399,33
10.0,VISION SHARP MULTI NUTRIENT EYE HEALTH 42SG,902.4499999999999,59,44
10.0,Vita C Plus Urgent Rescue,40.77,3,1
10.0,VITA C PLUS URGENT RESCUE 60SG,1899.38,149,59
10.0,Vitality & Recovery Testosterone Up for Men 60+ 60ct,0,2,1
10.0,VITALITY & RECOVERY TESTOSTERONE UP MEN 60+ 60SG,499.6,22,13
10.0,Weekend Colon Flush 16ct,21610.999999999996,5851,34
10.0,Whole Body Turmeric 120ct VALUE SIZE,0,2,1
10.0,Whole Body Turmeric Curcumin C3,40.77,3,1
10.0,Whole Body Turmeric Curcumin C3 60ct,8500.91,719,34
10.0,WHOLE BODY TURMERIC + CURCUMIN C3 COMPLEX 60SG,1902.3100000000004,145,89
10.0,WHOLE BODY TURMERIC+ VALUE SIZE 120SG,1692.0900000000001,87,62
10.0,WOMEN'S 73 NUTRIENT MULTI 60SG,53.96,4,1
10.0,Women's 73 Nutrient Soft-Gel Multi 60ct,3238.0400000000004,216,17
10.0,Yohimbe Plus Maximum Enhancement,50.97,3,1
10.0,Yohimbe-Plus Maximum Enhancement 100ct,5036.64,576,14
10.0,YOHIMBE PLUS MAXIMUM PERFORMANCE 100SG,191.29999999999998,11,3
2.0,10-DAY ACAI BERRY SUPER CLEANSE 60SG,42.85,4,2
2.0,15DAY WEIGHT LOSS CLENSE & FLS 60T,1511.65,157,62
2.0,2 in 1 Cleanse & Flush Weight Loss Support,31.98,2,1
2.0,2IN1 CLEANSE & FLUSH WEIGHT LOSS SUPPORT 60SG,2438.460000000001,191,83
2.0,2 in 1 Kidney & Liver Super Cleanse,227.89000000000001,12,3
2.0,2IN1 KIDNEY & LIVER SUPER CLEANSE 60SG,11726.349999999999,741,240
2.0,3IN1 CARB BLOCKER MAXIMUM STRENGTH 75SG,2497.6400000000012,198,84
2.0,3IN1 CARB BLOCKER MAX STRENGTH VALUE SIZE 150SG,1602.1799999999998,70,31
2.0,3 in 1 Joint Formula,133.87,6,2
2.0,3IN1 JOINT FORMULA 60SG,772.96,38,10
2.0,3IN1 JOINT FORMULA 90SG,5615.66,286,106
2.0,7DAY ULTIMAT CLEANS 2PART 1KIT,1868.81,195,69
2.0,ACTIVE ENERGY MAGNUM MACA,0,0,4
2.0,Advanced Absorption Mega B Complex,65.47,5,2
2.0,ADVANCED ABSORPTION MEGA B COMPLEX 60SG,18846.199999999993,1639,388
2.0,ALLER-PURE HISTAMINE CLEAR 54SG,1055.0499999999997,40,9
2.0,ALOE & TRIPHALA ACTIVE CLEANSE & PROBIOTICS 60SG,1382.3899999999999,93,42
2.0,ANTI-GAS DIGESTIVE ENZYME,110.34,6,4
2.0,ANTI-GAS DIGESTIVE ENZYMES 45SG,1434.79,99,32
2.0,APPLE CIDER VINEGAR + METABOLISM 40GUMMIES,183.2,32,18
2.0,ASHWAGANDHA HEALTHY BRAIN MOOD & STRESS60CAPS,430.61,38,26
2.0,ASHWAGANDHA MOOD & STRESS,95.96,4,1
2.0,ASHWAGANDHA XTRA STRENGTH,287.85,15,3
2.0,B-12 QUICK RELEASE EXTRA,31.98,2,1
2.0,Beet Root RED,84.95,5,2
2.0,BEET ROOT RED,0,0,1
