date,yhat,yhat_lower,yhat_upper,model,product_name,distributor,key_type,key_id
2025-11-01,478.6400000000001,-2293.1683416511805,3250.448341651181,sarimax,COLLAGEN BEAUTY 80CAP,THRESHOLD,product_distributor,COLLAGEN BEAUTY 80CAP | THRESHOLD
2025-12-01,478.6400000000001,-3441.288949061978,4398.568949061978,sarimax,COLLAGEN BEAUTY 80CAP,THRESHOLD,product_distributor,COLLAGEN BEAUTY 80CAP | THRESHOLD
2025-10-01,127.91999999999999,-2643.888341651181,2899.728341651181,sarimax,COLON FLUSH XTRA STRENGTH,SUPERNATURAL,product_distributor,COLON FLUSH XTRA STRENGTH | SUPERNATURAL
2025-11-01,127.91999999999999,-3792.008949061978,4047.848949061978,sarimax,COLON FLUSH XTRA STRENGTH,SUPERNATURAL,product_distributor,COLON FLUSH XTRA STRENGTH | SUPERNATURAL
2025-12-01,127.91999999999999,-4672.992876583078,4928.832876583078,sarimax,COLON FLUSH XTRA STRENGTH,SUPERNATURAL,product_distributor,COLON FLUSH XTRA STRENGTH | SUPERNATURAL
2025-10-01,123.94999999999999,-2647.858341651181,2895.7583416511807,sarimax,COQ10 RED,SUPERNATURAL,product_distributor,COQ10 RED | SUPERNATURAL
2025-11-01,123.94999999999999,-3795.9789490619783,4043.878949061978,sarimax,COQ10 RED,SUPERNATURAL,product_distributor,COQ10 RED | SUPERNATURAL
2025-12-01,123.94999999999999,-4676.9628765830785,4924.862876583078,sarimax,COQ10 RED,SUPERNATURAL,product_distributor,COQ10 RED | SUPERNATURAL
2025-11-01,781.93,-1989.878341651181,3553.7383416511807,sarimax,COQ10 RED 60SG,THRESHOLD,product_distributor,COQ10 RED 60SG | THRESHOLD
2025-12-01,781.93,-3137.9989490619782,4701.858949061978,sarimax,COQ10 RED 60SG,THRESHOLD,product_distributor,COQ10 RED 60SG | THRESHOLD
2025-12-01,417.3600000000006,-2354.4483416511803,3189.1683416511814,sarimax,Clinically Proven Verisol Collagen Beauty Fine Lines & Wrinkles 80ct,DIRECT,product_distributor,Clinically Proven Verisol Collagen Beauty Fine Lines & Wrinkles 80ct | DIRECT
2025-09-01,63.21,-2708.598341651181,2835.018341651181,sarimax,CoQ 10 RED,PALKO,product_distributor,CoQ 10 RED | PALKO
2025-10-01,63.21,-3856.718949061978,3983.138949061978,sarimax,CoQ 10 RED,PALKO,product_distributor,CoQ 10 RED | PALKO
2025-11-01,63.21,-4737.702876583078,4864.122876583078,sarimax,CoQ 10 RED,PALKO,product_distributor,CoQ 10 RED | PALKO
2025-12-01,63.21,-5480.406683302362,5606.826683302362,sarimax,CoQ 10 RED,PALKO,product_distributor,CoQ 10 RED | PALKO
2025-11-01,9817.099999999999,7045.291658348818,12588.908341651178,sarimax,CoQ10-RED 60ct,DIRECT,product_distributor,CoQ10-RED 60ct | DIRECT
2025-12-01,9817.099999999999,5897.171050938021,13737.028949061976,sarimax,CoQ10-RED 60ct,DIRECT,product_distributor,CoQ10-RED 60ct | DIRECT
2025-10-01,557.7,-2214.108341651181,3329.5083416511807,sarimax,CoQ10-RED 60ct,KEHE,product_distributor,CoQ10-RED 60ct | KEHE
