distributor,product_name,revenue_ytd,units_ytd,txn_count
KEHE,Green Tea Fat Metabolizer 75ct,1513.9900000000002,101,41
KEHE,Gut-to-Brain Hunger Control 60ct,2321.9900000000002,125,41
KEHE,High Potency Mega D3+K2 Turmeric Extract 60ct,6944.449999999997,751,125
KEHE,Immuno-Shield All Season Wellness 100ct,25116.740000000005,2658,86
KEHE,Immuno-Shield with Elderberry 60ct,32.37,3,1
KEHE,Inflamma-Less 80ct,6648.839999999996,409,125
KEHE,L-Arginine + Horney Goat Weed 75ct,74.95,5,3
KEHE,Libido-Max for Active Men 60ct,10459.66999999999,826,170
KEHE,Liver Detox & Blood Refresh 60ct,18554.309999999976,1317,220
KEHE,Living Green Liquid-Gel Multi for MEN 90ct,4417.060000000003,256,84
KEHE,Living Green Liquid-Gel Multi for WOMEN 90ct,3930.14,210,76
KEHE,Longer Stronger Hair & Nails 60ct,3501.0800000000013,298,97
KEHE,Love My Legs 60ct,1095.5700000000002,66,6
KEHE,Maca Root and Ashwagandha 75ct,5171.550000000001,345,78
KEHE,Maximum Strength 3-in-1 Carb Blocker 75ct,8305.380000000008,726,140
KEHE,Mighty Moringa 60ct,9112.399999999998,789,169
KEHE,Milk Thistle Liver Cleanse 60ct,7193.8399999999965,541,78
KEHE,Milk Thistle Liver Detox 60ct,162391.04000000248,11854,3394
KEHE,Multi Herb Digestion & Detox Support 275ct ECONOMY SIZE,31.48,2,1
KEHE,Next Level Steel Libido X2 75ct,13042.74999999997,765,226
KEHE,Nitric Oxide Pre Sport 60ct,10259.759999999995,775,161
KEHE,One-Per-Day Mega B-12 60ct,2565.8600000000006,230,77
KEHE,Only One Liquid-Gel Multi WITH IRON 60ct,11092.789999999994,876,262
KEHE,Only One Liquid-Gel Multi WITHOUT IRON 60ct,6977.510000000001,545,208
KEHE,Optimum-Strength Testosterone UP PRO-Growth 60ct,9592.429999999982,485,139
KEHE,Power to Sleep PM 60ct,13658.669999999966,1153,352
KEHE,Power to Sleep PM 6mg Melatonin 60ct,12917.340000000046,1062,200
KEHE,Pro-Active Male Prosta-Strong Healthy Urinary Flow 90ct,19457.729999999956,954,298
KEHE,Prosta-Strong RED 80ct,54857.789999999986,2055,132
KEHE,Pure Defense Mushroom-8 Immune Support 60ct,41.37,3,2
KEHE,Quick Energy RED Liquid-Gel Multi 72ct,2784.680000000001,177,45
KEHE,Respiratory Support & Defense 60ct,8666.789999999997,951,115
KEHE,Steel-Libido 75ct,3797.2100000000005,269,73
KEHE,Steel-Libido for WOMEN 75ct,9908.670000000002,648,126
KEHE,Steel-Libido Peak Testosterone 75ct,4167.22,290,52
